week_ending,ramadan,eid_fitr,eid_adha,hijri_month
2021-04-29,1,0,0,9
2021-05-06,1,0,0,9
2021-05-13,1,1,0,9
2021-05-20,1,1,0,9
2021-05-27,0,1,0,10
2021-06-03,0,0,0,10
2021-06-10,0,0,0,10
2021-06-17,0,0,0,10
2021-06-24,0,0,0,10
2021-07-01,0,0,0,11
2021-07-08,0,0,0,11
2021-07-15,0,0,0,11
2021-07-22,0,0,1,11
2021-07-29,0,0,1,12
2021-08-05,0,0,1,12
2021-08-12,0,0,0,12
2021-08-19,0,0,0,12
2021-08-26,0,0,0,1
2021-09-02,0,0,0,1
2021-09-09,0,0,0,1
2021-09-16,0,0,0,1
2021-09-23,0,0,0,2
2021-09-30,0,0,0,2
2021-10-07,0,0,0,2
2021-10-14,0,0,0,2
2021-10-21,0,0,0,3
2021-10-28,0,0,0,3
2021-11-04,0,0,0,3
2021-11-11,0,0,0,3
2021-11-18,0,0,0,3
2021-11-25,0,0,0,4
2021-12-02,0,0,0,4
2021-12-09,0,0,0,4
2021-12-16,0,0,0,4
2021-12-23,0,0,0,5
2021-12-30,0,0,0,5
2022-01-06,0,0,0,5
2022-01-13,0,0,0,5
2022-01-20,0,0,0,6
2022-01-27,0,0,0,6
2022-02-03,0,0,0,6
2022-02-10,0,0,0,6
2022-02-17,0,0,0,7
2022-02-24,0,0,0,7
2022-03-03,0,0,0,7
2022-03-10,0,0,0,7
2022-03-17,0,0,0,7
2022-03-24,0,0,0,8
2022-03-31,0,0,0,8
2022-04-07,1,0,0,8
2022-04-14,1,0,0,8
2022-04-21,1,0,0,9
2022-04-28,1,0,0,9
2022-05-05,1,1,0,9
2022-05-12,1,1,0,9
2022-05-19,0,1,0,10
2022-05-26,0,0,0,10
2022-06-02,0,0,0,10
2022-06-09,0,0,0,10
2022-06-16,0,0,0,11
2022-06-23,0,0,0,11
2022-06-30,0,0,0,11
2022-07-07,0,0,1,11
2022-07-14,0,0,1,12
2022-07-21,0,0,1,12
2022-07-28,0,0,0,12
2022-08-04,0,0,0,12
2022-08-11,0,0,0,12
2022-08-18,0,0,0,1
2022-08-25,0,0,0,1
2022-09-01,0,0,0,1
2022-09-08,0,0,0,1
2022-09-15,0,0,0,2
2022-09-22,0,0,0,2
2022-09-29,0,0,0,2
2022-10-06,0,0,0,2
2022-10-13,0,0,0,3
2022-10-20,0,0,0,3
2022-10-27,0,0,0,3
2022-11-03,0,0,0,3
2022-11-10,0,0,0,4
2022-11-17,0,0,0,4
2022-11-24,0,0,0,4
2022-12-01,0,0,0,4
2022-12-08,0,0,0,4
2022-12-15,0,0,0,5
2022-12-22,0,0,0,5
2022-12-29,0,0,0,5
2023-01-05,0,0,0,5
2023-01-12,0,0,0,6
2023-01-19,0,0,0,6
2023-01-26,0,0,0,6
2023-02-02,0,0,0,6
2023-02-09,0,0,0,7
2023-02-16,0,0,0,7
2023-02-23,0,0,0,7
2023-03-02,0,0,0,7
2023-03-09,0,0,0,8
2023-03-16,0,0,0,8
2023-03-23,1,0,0,8
2023-03-30,1,0,0,8
2023-04-06,1,0,0,9
2023-04-13,1,0,0,9
2023-04-20,1,0,0,9
2023-04-27,1,1,0,9
2023-05-04,1,1,0,9
2023-05-11,0,1,0,10
2023-05-18,0,0,0,10
2023-05-25,0,0,0,10
2023-06-01,0,0,0,10
2023-06-08,0,0,0,11
2023-06-15,0,0,0,11
2023-06-22,0,0,0,11
2023-06-29,0,0,1,11
2023-07-06,0,0,1,12
2023-07-13,0,0,1,12
2023-07-20,0,0,0,12
2023-07-27,0,0,0,12
2023-08-03,0,0,0,1
2023-08-10,0,0,0,1
2023-08-17,0,0,0,1
2023-08-24,0,0,0,1
2023-08-31,0,0,0,2
2023-09-07,0,0,0,2
2023-09-14,0,0,0,2
2023-09-21,0,0,0,2
2023-09-28,0,0,0,2
2023-10-05,0,0,0,3
2023-10-12,0,0,0,3
2023-10-19,0,0,0,3
2023-10-26,0,0,0,3
2023-11-02,0,0,0,4
2023-11-09,0,0,0,4
2023-11-16,0,0,0,4
2023-11-23,0,0,0,4
2023-11-30,0,0,0,5
2023-12-07,0,0,0,5
2023-12-14,0,0,0,5
2023-12-21,0,0,0,5
2023-12-28,0,0,0,6
2024-01-04,0,0,0,6
2024-01-11,0,0,0,6
2024-01-18,0,0,0,6
2024-01-25,0,0,0,6
2024-02-01,0,0,0,7
2024-02-08,0,0,0,7
2024-02-15,0,0,0,7
2024-02-22,0,0,0,7
2024-02-29,0,0,0,8
2024-03-07,0,0,0,8
2024-03-14,1,0,0,8
2024-03-21,1,0,0,8
2024-03-28,1,0,0,9
2024-04-04,1,0,0,9
2024-04-11,1,1,0,9
2024-04-18,1,1,0,9
2024-04-25,0,1,0,10
2024-05-02,0,0,0,10
2024-05-09,0,0,0,10
2024-05-16,0,0,0,10
2024-05-23,0,0,0,11
2024-05-30,0,0,0,11
2024-06-06,0,0,0,11
2024-06-13,0,0,1,11
2024-06-20,0,0,1,11
2024-06-27,0,0,1,12
2024-07-04,0,0,0,12
2024-07-11,0,0,0,12
2024-07-18,0,0,0,12
2024-07-25,0,0,0,1
2024-08-01,0,0,0,1
2024-08-08,0,0,0,1
2024-08-15,0,0,0,1
2024-08-22,0,0,0,2
2024-08-29,0,0,0,2
2024-09-05,0,0,0,2
2024-09-12,0,0,0,2
2024-09-19,0,0,0,3
2024-09-26,0,0,0,3
2024-10-03,0,0,0,3
2024-10-10,0,0,0,3
2024-10-17,0,0,0,3
2024-10-24,0,0,0,4
2024-10-31,0,0,0,4
2024-11-07,0,0,0,4
2024-11-14,0,0,0,4
2024-11-21,0,0,0,5
2024-11-28,0,0,0,5
2024-12-05,0,0,0,5
2024-12-12,0,0,0,5
2024-12-19,0,0,0,6
2024-12-26,0,0,0,6
2025-01-02,0,0,0,6
2025-01-09,0,0,0,6
2025-01-16,0,0,0,7
2025-01-23,0,0,0,7
2025-01-30,0,0,0,7
2025-02-06,0,0,0,7
2025-02-13,0,0,0,7
2025-02-20,0,0,0,8
2025-02-27,0,0,0,8
2025-03-06,1,0,0,8
2025-03-13,1,0,0,8
2025-03-20,1,0,0,9
2025-03-27,1,0,0,9
2025-04-03,1,1,0,9
2025-04-10,1,1,0,9
2025-04-17,0,1,0,10
2025-04-24,0,0,0,10
2025-05-01,0,0,0,10
2025-05-08,0,0,0,10
2025-05-15,0,0,0,11
2025-05-22,0,0,0,11
2025-05-29,0,0,0,11
2025-06-05,0,0,1,11
2025-06-12,0,0,1,12
2025-06-19,0,0,1,12
2025-06-26,0,0,0,12
2025-07-03,0,0,0,12
2025-07-10,0,0,0,1
2025-07-17,0,0,0,1
2025-07-24,0,0,0,1
2025-07-31,0,0,0,1
2025-08-07,0,0,0,1
2025-08-14,0,0,0,2
2025-08-21,0,0,0,2
2025-08-28,0,0,0,2
2025-09-04,0,0,0,2
2025-09-11,0,0,0,3
2025-09-18,0,0,0,3
2025-09-25,0,0,0,3
2025-10-02,0,0,0,3
2025-10-09,0,0,0,4
2025-10-16,0,0,0,4
2025-10-23,0,0,0,4
2025-10-30,0,0,0,4
2025-11-06,0,0,0,5
2025-11-13,0,0,0,5
2025-11-20,0,0,0,5
2025-11-27,0,0,0,5
2025-12-04,0,0,0,5
2025-12-11,0,0,0,6
2025-12-18,0,0,0,6
2025-12-25,0,0,0,6
2026-01-01,0,0,0,6
2026-01-08,0,0,0,7
2026-01-15,0,0,0,7
2026-01-22,0,0,0,7
2026-01-29,0,0,0,7
2026-02-05,0,0,0,8
2026-02-12,0,0,0,8
2026-02-19,1,0,0,8
2026-02-26,1,0,0,8
2026-03-05,1,0,0,9
2026-03-12,1,0,0,9
2026-03-19,1,0,0,9
2026-03-26,1,1,0,9
2026-04-02,1,1,0,9
2026-04-09,0,1,0,10
2026-04-16,0,0,0,10
2026-04-23,0,0,0,10
2026-04-30,0,0,0,10
2026-05-07,0,0,0,11
2026-05-14,0,0,0,11
2026-05-21,0,0,0,11
2026-05-28,0,0,1,11
2026-06-04,0,0,1,12
2026-06-11,0,0,1,12
2026-06-18,0,0,0,12
2026-06-25,0,0,0,12
2026-07-02,0,0,0,1
2026-07-09,0,0,0,1
2026-07-16,0,0,0,1
2026-07-23,0,0,0,1
2026-07-30,0,0,0,2
2026-08-06,0,0,0,2
2026-08-13,0,0,0,2
2026-08-20,0,0,0,2
2026-08-27,0,0,0,2
2026-09-03,0,0,0,3
2026-09-10,0,0,0,3
2026-09-17,0,0,0,3
2026-09-24,0,0,0,3
2026-10-01,0,0,0,4
2026-10-08,0,0,0,4
2026-10-15,0,0,0,4
2026-10-22,0,0,0,4
2026-10-29,0,0,0,5
2026-11-05,0,0,0,5
2026-11-12,0,0,0,5
2026-11-19,0,0,0,5
2026-11-26,0,0,0,6
2026-12-03,0,0,0,6
2026-12-10,0,0,0,6
2026-12-17,0,0,0,6
2026-12-24,0,0,0,7
2026-12-31,0,0,0,7
2027-01-07,0,0,0,7
2027-01-14,0,0,0,7
2027-01-21,0,0,0,7
2027-01-28,0,0,0,8
2027-02-04,0,0,0,8
2027-02-11,1,0,0,8
2027-02-18,1,0,0,8
2027-02-25,1,0,0,9
2027-03-04,1,0,0,9
2027-03-11,1,1,0,9
2027-03-18,1,1,0,9
2027-03-25,0,1,0,10
2027-04-01,0,0,0,10
2027-04-08,0,0,0,10
2027-04-15,0,0,0,10
2027-04-22,0,0,0,11
2027-04-29,0,0,0,11
2027-05-06,0,0,0,11
2027-05-13,0,0,1,11
2027-05-20,0,0,1,11
2027-05-27,0,0,1,12
2027-06-03,0,0,0,12
2027-06-10,0,0,0,12
2027-06-17,0,0,0,12
2027-06-24,0,0,0,1
2027-07-01,0,0,0,1
2027-07-08,0,0,0,1
2027-07-15,0,0,0,1
2027-07-22,0,0,0,2
2027-07-29,0,0,0,2
2027-08-05,0,0,0,2
2027-08-12,0,0,0,2
2027-08-19,0,0,0,3
2027-08-26,0,0,0,3
2027-09-02,0,0,0,3
2027-09-09,0,0,0,3
2027-09-16,0,0,0,4
2027-09-23,0,0,0,4
2027-09-30,0,0,0,4
2027-10-07,0,0,0,4
2027-10-14,0,0,0,4
2027-10-21,0,0,0,5
2027-10-28,0,0,0,5
2027-11-04,0,0,0,5
2027-11-11,0,0,0,5
2027-11-18,0,0,0,6
2027-11-25,0,0,0,6
2027-12-02,0,0,0,6
2027-12-09,0,0,0,6
2027-12-16,0,0,0,7
2027-12-23,0,0,0,7
2027-12-30,0,0,0,7
2028-01-06,0,0,0,7
2028-01-13,0,0,0,8
2028-01-20,0,0,0,8
2028-01-27,0,0,0,8
2028-02-03,1,0,0,8
2028-02-10,1,0,0,8
2028-02-17,1,0,0,9
2028-02-24,1,0,0,9
2028-03-02,1,1,0,9
2028-03-09,1,1,0,9
2028-03-16,0,1,0,10
2028-03-23,0,0,0,10
2028-03-30,0,0,0,10
2028-04-06,0,0,0,10
2028-04-13,0,0,0,11
2028-04-20,0,0,0,11
2028-04-27,0,0,0,11
2028-05-04,0,0,1,11
2028-05-11,0,0,1,12
2028-05-18,0,0,1,12
2028-05-25,0,0,0,12
2028-06-01,0,0,0,12
2028-06-08,0,0,0,1
2028-06-15,0,0,0,1
2028-06-22,0,0,0,1
2028-06-29,0,0,0,1
2028-07-06,0,0,0,1
2028-07-13,0,0,0,2
2028-07-20,0,0,0,2
2028-07-27,0,0,0,2
2028-08-03,0,0,0,2
2028-08-10,0,0,0,3
2028-08-17,0,0,0,3
2028-08-24,0,0,0,3
2028-08-31,0,0,0,3
2028-09-07,0,0,0,4
2028-09-14,0,0,0,4
2028-09-21,0,0,0,4
2028-09-28,0,0,0,4
2028-10-05,0,0,0,5
2028-10-12,0,0,0,5
2028-10-19,0,0,0,5
2028-10-26,0,0,0,5
2028-11-02,0,0,0,6
2028-11-09,0,0,0,6
2028-11-16,0,0,0,6
2028-11-23,0,0,0,6
2028-11-30,0,0,0,6
2028-12-07,0,0,0,7
2028-12-14,0,0,0,7
2028-12-21,0,0,0,7
2028-12-28,0,0,0,7
2029-01-04,0,0,0,8
2029-01-11,0,0,0,8
2029-01-18,1,0,0,8
2029-01-25,1,0,0,8
2029-02-01,1,0,0,9
2029-02-08,1,0,0,9
2029-02-15,1,1,0,9
2029-02-22,1,1,0,9
2029-03-01,0,1,0,10
2029-03-08,0,0,0,10
2029-03-15,0,0,0,10
2029-03-22,0,0,0,10
2029-03-29,0,0,0,10
2029-04-05,0,0,0,11
2029-04-12,0,0,0,11
2029-04-19,0,0,0,11
2029-04-26,0,0,1,11
2029-05-03,0,0,1,12
2029-05-10,0,0,1,12
2029-05-17,0,0,0,12
2029-05-24,0,0,0,12
2029-05-31,0,0,0,1
2029-06-07,0,0,0,1
2029-06-14,0,0,0,1
2029-06-21,0,0,0,1
2029-06-28,0,0,0,2
2029-07-05,0,0,0,2
2029-07-12,0,0,0,2
2029-07-19,0,0,0,2
2029-07-26,0,0,0,2
2029-08-02,0,0,0,3
2029-08-09,0,0,0,3
2029-08-16,0,0,0,3
2029-08-23,0,0,0,3
2029-08-30,0,0,0,4
2029-09-06,0,0,0,4
2029-09-13,0,0,0,4
2029-09-20,0,0,0,4
2029-09-27,0,0,0,5
2029-10-04,0,0,0,5
2029-10-11,0,0,0,5
2029-10-18,0,0,0,5
2029-10-25,0,0,0,6
2029-11-01,0,0,0,6
2029-11-08,0,0,0,6
2029-11-15,0,0,0,6
2029-11-22,0,0,0,7
2029-11-29,0,0,0,7
2029-12-06,0,0,0,7
2029-12-13,0,0,0,7
2029-12-20,0,0,0,7
2029-12-27,0,0,0,8
2030-01-03,0,0,0,8
2030-01-10,1,0,0,8
2030-01-17,1,0,0,8
2030-01-24,1,0,0,9
2030-01-31,1,0,0,9
2030-02-07,1,1,0,9
2030-02-14,1,1,0,9
2030-02-21,0,1,0,10
2030-02-28,0,0,0,10
2030-03-07,0,0,0,10
2030-03-14,0,0,0,10
2030-03-21,0,0,0,11
2030-03-28,0,0,0,11
2030-04-04,0,0,0,11
2030-04-11,0,0,1,11
2030-04-18,0,0,1,12
2030-04-25,0,0,1,12
2030-05-02,0,0,0,12
2030-05-09,0,0,0,12
2030-05-16,0,0,0,12
2030-05-23,0,0,0,1
2030-05-30,0,0,0,1
2030-06-06,0,0,0,1
2030-06-13,0,0,0,1
2030-06-20,0,0,0,2
2030-06-27,0,0,0,2
2030-07-04,0,0,0,2
2030-07-11,0,0,0,2
2030-07-18,0,0,0,3
2030-07-25,0,0,0,3
2030-08-01,0,0,0,3
2030-08-08,0,0,0,3
2030-08-15,0,0,0,4
2030-08-22,0,0,0,4
2030-08-29,0,0,0,4
2030-09-05,0,0,0,4
2030-09-12,0,0,0,4
2030-09-19,0,0,0,5
2030-09-26,0,0,0,5
2030-10-03,0,0,0,5
2030-10-10,0,0,0,5
2030-10-17,0,0,0,6
2030-10-24,0,0,0,6
2030-10-31,0,0,0,6
2030-11-07,0,0,0,6
2030-11-14,0,0,0,7
2030-11-21,0,0,0,7
2030-11-28,0,0,0,7
2030-12-05,0,0,0,7
2030-12-12,0,0,0,8
2030-12-19,0,0,0,8
2030-12-26,1,0,0,8
